timestamp,src_addr,dest_addr,src_battery,dest_battery,path_distance,chosen_path,path_delay,path_quality
2.361543,3,5,99.613821,99.628207,83.782603,4,0.001836,100.000000
2.444440,5,4,99.628207,99.508774,48.470738,0,0.002013,100.000000
3.392517,1,2,99.692368,99.713069,34.489532,0,0.004284,100.000000
3.928599,4,3,99.508774,99.613821,111.233862,0,0.004906,100.000000
3.945738,4,3,99.508774,99.613821,111.233862,0,0.007944,100.000000
3.962877,4,3,99.508774,99.613821,111.233862,0,0.011364,100.000000
3.980016,4,3,99.508774,99.613821,111.233862,0,0.012444,100.000000
3.997155,4,3,99.508774,99.613821,111.233862,0,0.014575,100.000000
4.014294,4,3,99.508774,99.613821,111.233862,0,0.016442,100.000000
4.031433,4,3,99.508774,99.613821,111.233862,0,0.019709,100.000000
4.048572,4,3,99.508774,99.613821,111.233862,0,0.022744,100.000000
4.065710,4,3,99.508774,99.613821,111.233862,0,0.024120,100.000000
4.082849,4,3,99.508774,99.613821,111.233862,0,0.025453,100.000000
4.099988,4,3,99.508774,99.613821,111.233862,0,0.027727,100.000000
4.117127,4,3,99.508774,99.613821,111.233862,0,0.032096,100.000000
4.134266,4,3,99.508774,99.613821,111.233862,0,0.035962,100.000000
4.151405,4,3,99.508774,99.613821,111.233862,0,0.038021,100.000000
4.168544,4,3,99.508774,99.613821,111.233862,0,0.041367,100.000000
4.185683,4,3,99.508774,99.613821,111.233862,0,0.043026,100.000000
4.202821,4,3,99.508774,99.613821,111.233862,0,0.044045,100.000000
4.219960,4,3,99.508774,99.613821,111.233862,0,0.047324,100.000000
4.237099,4,3,99.508774,99.613821,111.233862,0,0.051264,100.000000
4.254238,4,3,99.508774,99.613821,111.233862,0,0.053998,100.000000
4.271377,4,3,99.508774,99.613821,111.233862,0,0.057302,100.000000
4.288516,4,3,99.508774,99.613821,111.233862,0,0.061886,100.000000
4.305655,4,3,99.508774,99.613821,111.233862,0,0.063779,100.000000
4.322794,4,3,99.508774,99.613821,111.233862,0,0.067499,100.000000
4.339933,4,3,99.508774,99.613821,111.233862,0,0.071885,100.000000
4.349498,2,4,99.713069,99.508774,101.211372,0,0.002647,100.000000
4.357071,4,3,99.508774,99.613821,111.233862,0,0.075586,100.000000
4.374210,4,3,99.508774,99.613821,111.233862,0,0.080448,100.000000
